FID IID FATHER_ID MOTHER_ID proband parental
21_0 21_0_0 NA NA -2.5938315 -2.381671
21_0 21_0_1 NA NA -1.7225065 -2.381671
21_1 21_1_0 NA NA -2.574196 -4.018254
21_1 21_1_1 NA NA -2.0456703 -4.018254
21_2 21_2_0 NA NA -1.830716 -1.5328443
21_2 21_2_1 NA NA -0.2301212 -1.5328443
21_3 21_3_0 NA NA -2.605357 -2.931569
21_3 21_3_1 NA NA -1.8166159 -2.931569
21_4 21_4_0 NA NA -1.482097 -2.1348515
21_4 21_4_1 NA NA -0.9773797 -2.1348515
21_5 21_5_0 NA NA -0.62662894 -1.7344892
21_5 21_5_1 NA NA -0.53248733 -1.7344892
21_6 21_6_0 NA NA -1.9439774 -3.5604978
21_6 21_6_1 NA NA -2.0173457 -3.5604978
21_7 21_7_0 NA NA -2.6665092 -3.4111044
21_7 21_7_1 NA NA -0.94042516 -3.4111044
21_8 21_8_0 NA NA -0.6789038 -1.7602693
21_8 21_8_1 NA NA -1.5158439 -1.7602693
21_9 21_9_0 NA NA -2.3569748 -3.8225307
21_9 21_9_1 NA NA -2.6622617 -3.8225307
21_10 21_10_0 NA NA -2.604258 -2.3026972
21_10 21_10_1 NA NA -0.73823565 -2.3026972
21_11 21_11_0 NA NA -0.75009197 -1.4356822
21_11 21_11_1 NA NA -0.3513117 -1.4356822
21_12 21_12_0 NA NA -1.4225142 -2.4193537
21_12 21_12_1 NA NA -1.8367277 -2.4193537
21_13 21_13_0 NA NA -1.9978482 -4.079585
21_13 21_13_1 NA NA -3.3348722 -4.079585
21_14 21_14_0 NA NA -1.8375069 -1.2651709
21_14 21_14_1 NA NA 0.2902683 -1.2651709
21_15 21_15_0 NA NA -0.4158517 -2.6046488
21_15 21_15_1 NA NA -1.8261532 -2.6046488
21_16 21_16_0 NA NA -0.18856806 -1.4786494
21_16 21_16_1 NA NA -1.1466105 -1.4786494
21_17 21_17_0 NA NA -1.0095358 -2.6170914
21_17 21_17_1 NA NA -1.0177412 -2.6170914
21_18 21_18_0 NA NA -2.1064444 -1.5650908
21_18 21_18_1 NA NA 0.063305505 -1.5650908
21_19 21_19_0 NA NA -1.0104247 -1.0145547
21_19 21_19_1 NA NA 0.03568571 -1.0145547
21_20 21_20_0 NA NA -0.82008547 -2.1238236
21_20 21_20_1 NA NA -0.92407995 -2.1238236
21_21 21_21_0 NA NA -1.7375773 -1.5218464
21_21 21_21_1 NA NA -0.6700787 -1.5218464
21_22 21_22_0 NA NA -2.2751396 -3.2149684
21_22 21_22_1 NA NA -2.0365286 -3.2149684
21_23 21_23_0 NA NA -0.86877763 -1.8905082
21_23 21_23_1 NA NA -1.1238954 -1.8905082
21_24 21_24_0 NA NA -1.5266845 -2.5551007
21_24 21_24_1 NA NA -1.2761724 -2.5551007
21_25 21_25_0 NA NA -1.1944482 -0.8550052
21_25 21_25_1 NA NA -0.5109965 -0.8550052
